noise_level,phi_correlation,interaction_correlation
0.05,0.9971212454674699,1.0
0.05,0.9981293933468439,1.0
0.05,0.9989627174046675,1.0
0.05,0.9969010783671939,1.0
0.05,0.9988146131214805,1.0
0.05,0.9988180181802093,1.0
0.05,0.9983103785625257,0.9999999999999999
0.05,0.9981150044707096,1.0
0.05,0.997163380818562,1.0
0.05,0.9977637578794588,1.0
0.1,0.9962476259761204,1.0
0.1,0.9905829514201092,1.0
0.1,0.9938974203937463,1.0
0.1,0.9925859167092267,1.0
0.1,0.9906821841604655,1.0
0.1,0.9919481884110286,1.0
0.1,0.9891345177840019,1.0
0.1,0.9944980534097368,1.0
0.1,0.9874002817968593,1.0
0.1,0.9940039409717848,-1.0
0.2,0.9387167035078094,-1.0
0.2,0.9413512612704623,1.0
0.2,0.9612865710493417,-1.0
0.2,0.9358489880373925,1.0
0.2,0.9564219390815671,-0.9999999999999998
0.2,0.9687095611183504,1.0
0.2,0.9778407928298953,1.0
0.2,0.9760164495301624,0.9999999999999998
0.2,0.9793662450561491,1.0
0.2,0.966050998537296,1.0
0.3,0.9529627144148861,1.0
0.3,0.9455712588108457,1.0
0.3,0.9431350697559833,1.0
0.3,0.9336539390001771,0.9999999999999999
0.3,0.9356255836453733,1.0
0.3,0.9081226286575695,1.0
0.3,0.9605611502994592,1.0
0.3,0.8675054300026432,-1.0
0.3,0.9244309342951484,-1.0
0.3,0.8951298506436189,1.0
